num;NOME;longe;alfabetizacao;freq_escolar;renda_capita;idhl;idhe;idhr;idh
84;Laranjeiras;77,84;98,74;115,98;1679,22;0,881;0,992;1;0,957
85;Leblon;79,47;99,01;105,18;2441,28;0,908;0,993;1;0,967
86;Leme;77,47;98,75;112,07;1713,89;0,875;0,992;1;0,955
87;Lins de Vasconcelos;72,73;95,54;92,3;583,35;0,795;0,945;0,836;0,859
88;Madureira;70,97;96,81;90,42;419,81;0,766;0,947;0,781;0,831
89;Magalhães Bastos;68,9;95,72;90,24;318,03;0,732;0,939;0,735;0,802
90;Mangueira;67,33;87,9;69,5;219,95;0,706;0,818;0,673;0,732
91;Manguinhos;66,3;91,48;69,64;188,86;0,688;0,842;0,648;0,726
92;Maracanã;77,91;98,91;113,97;1206,73;0,882;0,993;0,957;0,944
93;Maré;66,58;89,46;68,76;187,25;0,693;0,826;0,646;0,722
94;Marechal Hermes;70,11;96,09;87,78;366,28;0,752;0,933;0,758;0,814
95;Maria da Graça;72,66;98,35;95,47;505,4;0,794;0,974;0,812;0,86
96;Méier;77,37;99,01;108,63;1000,16;0,873;0,993;0,926;0,931
97;Moneró;76,43;97,21;100,52;730,4;0,857;0,981;0,873;0,904
98;Olaria;73,87;96,93;90,95;460,31;0,814;0,949;0,796;0,853
99;Osvaldo Cruz;73,59;97,75;94,12;441,34;0,81;0,965;0,789;0,855
100;Paciência;66,66;94,36;81,02;203,43;0,694;0,899;0,66;0,751
101;Padre Miguel;70,11;95,72;87,21;313,85;0,752;0,929;0,732;0,804
102;Paquetá;74,06;94,22;67,66;457,61;0,818;0,854;0,795;0,822
103;Parada de Lucas;65,35;92,38;82,15;220,27;0,672;0,89;0,673;0,745
104;Parque Anchieta;73,71;96,31;87,17;355,31;0,812;0,933;0,753;0,833
105;Parque Colúmbia;63,93;91,68;79,44;174,12;0,649;0,876;0,634;0,72
106;Pavuna;69,27;95,96;82,51;286,38;0,738;0,915;0,717;0,79
107;Pechincha;75,67;97,72;97,92;751,28;0,844;0,978;0,878;0,9
108;Pedra de Guaratiba;66,66;90,74;74,37;234,37;0,694;0,853;0,684;0,744
109;Penha;69,59;95,12;82,23;373,05;0,743;0,908;0,761;0,804
110;Penha Circular;71,15;96,23;83,38;444,77;0,769;0,919;0,791;0,826
111;Piedade;72,66;97,08;95,51;447,64;0,794;0,966;0,792;0,85
112;Pilares;72,55;96,79;86,05;389,81;0,793;0,932;0,769;0,831
113;Pitangueiras;73,53;96,9;91,34;517,83;0,809;0,95;0,816;0,858
114;Portuguesa;76,43;97,21;100,52;730,4;0,857;0,981;0,873;0,904
115;Praça da Bandeira;72,05;96,29;96,84;640,31;0,784;0,965;0,851;0,867
116;Praça Seca;71,7;96,18;91,79;498,32;0,778;0,947;0,81;0,845
117;Praia da Bandeira;73,53;96,9;91,34;517,83;0,809;0,95;0,816;0,858
118;Quintino Bocaiúva;73,91;96,8;91,97;424,67;0,815;0,952;0,783;0,85
119;Ramos;73,94;97,13;88,7;508,76;0,816;0,943;0,813;0,857
120;Realengo;69,63;95,97;87,44;316,41;0,744;0,931;0,734;0,803
121;Recreio dos Bandeirantes;72,55;95,03;91,75;1166,18;0,793;0,939;0,952;0,894
122;Riachuelo;76,44;98,31;102,75;715,92;0,857;0,989;0,87;0,905
123;Ribeira;72,85;96,48;95,37;527,2;0,797;0,961;0,819;0,859
124;Ricardo de Albuquerque;70,97;96,42;89,06;283;0,766;0,94;0,715;0,807
125;Rio Comprido;70,28;97;92,6;590,26;0,755;0,955;0,838;0,849
126;Rocha;70,64;95,9;90,65;513,62;0,761;0,941;0,815;0,839
127;Rocha Miranda;70,99;96,62;87,07;338,1;0,766;0,934;0,745;0,815
128;Rocinha;67,33;87,9;69,5;219,95;0,706;0,818;0,673;0,732
129;Sampaio;70,64;95,9;90,65;513,62;0,761;0,941;0,815;0,839
130;Santa Cruz;65,52;93,19;79,82;206,23;0,675;0,887;0,662;0,742
131;Santa Teresa;74,06;96,14;92,6;701,19;0,818;0,95;0,867;0,878
132;Santíssimo;69,36;95,04;80,94;256,08;0,739;0,903;0,698;0,78
133;Santo Cristo;70,28;94,21;77,52;320,57;0,755;0,886;0,736;0,792
134;São Conrado;71,12;94,76;82;1131,47;0,769;0,905;0,946;0,873
135;São Cristóvão;72,27;95,44;89,08;412,39;0,788;0,933;0,778;0,833
136;São Francisco Xavier;68,34;94,2;88,51;357,43;0,722;0,923;0,754;0,8
137;Saúde;70,28;94,21;77,52;320,57;0,755;0,886;0,736;0,792
138;Senador Camará;67,39;93,63;83,67;251,09;0,707;0,903;0,695;0,768
139;Senador Vasconcelos;69,68;95,88;88,68;302,44;0,745;0,935;0,726;0,802
140;Sepetiba;66,3;93,64;79,65;264,8;0,688;0,89;0,704;0,761
141;Tanque;71,49;95,95;86,87;439,87;0,775;0,929;0,789;0,831
142;Taquara;76,21;96,53;92,28;544,29;0,853;0,951;0,824;0,876
143;Tauá;71,24;93,2;83,99;416,19;0,771;0,901;0,78;0,817
144;Tijuca;75,04;98,02;107,38;1204,61;0,834;0,987;0,957;0,926
145;Todos os Santos;77,91;98,55;108,2;825,91;0,882;0,99;0,894;0,922
146;Tomás Coelho;69,88;95,89;83,8;325,92;0,748;0,919;0,739;0,802
147;Turiaçú;70,11;97,37;87,15;336,57;0,752;0,94;0,744;0,812
148;Urca;78,25;98,46;113,01;1376,47;0,888;0,99;0,979;0,952
149;Vargem Grande;66,3;90,8;69,28;279,09;0,688;0,836;0,713;0,746
150;Vargem Pequena;66,3;90,8;69,28;279,09;0,688;0,836;0,713;0,746
151;Vasco da Gama;72,27;95,44;89,08;412,39;0,788;0,933;0,778;0,833
152;Vaz Lobo;70,41;96,29;84,68;328,64;0,757;0,924;0,74;0,807
