DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;QT_APTOS;QT_SECOES;QT_SECOES_AGREGADAS;QT_APTOS_TOT;QT_SECOES_TOT;QT_COMPARECIMENTO;QT_ABSTENCOES;ST_VOTO_EM_TRANSITO;QT_VOTOS_NOMINAIS;QT_VOTOS_BRANCOS;QT_VOTOS_NULOS;QT_VOTOS_LEGENDA;QT_VOTOS_PENDENTES;QT_VOTOS_ANULADOS;HH_ULTIMA_TOTALIZACAO;DT_ULTIMA_TOTALIZACAO
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;241;11;Prefeito;62235;135;0;62235;135;50818;11417;N;40070;3746;7002;0;0;0;13:55:48;01/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;2;221;ELEIÇÕES MUNICIPAIS 2016;30/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;216;11;Prefeito;43783;101;2;43783;101;32463;11320;N;25474;1169;5820;0;0;0;20:40:16;30/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;2;221;ELEIÇÕES MUNICIPAIS 2016;30/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;192;11;Prefeito;65060;145;1;65060;145;47067;17993;N;36544;1933;8590;0;0;0;20:40:16;30/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58351;ENGENHEIRO PAULO DE FRONTIN;58351;ENGENHEIRO PAULO DE FRONTIN;74;11;Prefeito;10615;38;0;10615;38;9336;1279;N;5806;163;3367;0;0;0;19:51:16;02/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58092;BOM JARDIM;58092;BOM JARDIM;42;13;Vereador;21947;65;14;21947;65;17931;4016;N;15514;396;1051;970;0;0;18:30:28;27/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58696;NOVA IGUAÇU;58696;NOVA IGUAÇU;156;13;Vereador;71753;198;10;71753;198;58493;13260;N;46508;2756;6537;2692;0;0;14:09:38;04/04/2018
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;118;11;Prefeito;44188;100;0;44188;100;34265;9923;N;26761;2331;5173;0;0;0;13:55:48;01/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;2;221;ELEIÇÕES MUNICIPAIS 2016;30/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;120;11;Prefeito;75343;181;2;75343;181;60830;14513;N;49433;2433;8964;0;0;0;20:40:16;30/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;2;221;ELEIÇÕES MUNICIPAIS 2016;30/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;13;11;Prefeito;59329;145;1;59329;145;43633;15696;N;33503;1846;8284;0;0;0;20:40:16;30/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58971;SÃO GONÇALO;58971;SÃO GONÇALO;137;11;Prefeito;59527;172;1;59527;172;46153;13374;N;34470;3594;8089;0;0;0;19:27:23;02/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58394;ITAGUAÍ;58394;ITAGUAÍ;105;11;Prefeito;89731;264;7;89731;264;74305;15426;N;69462;1515;3328;0;0;0;11:25:22;03/11/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;178;11;Prefeito;38452;89;1;38452;89;30079;8373;N;24008;1883;4188;0;0;0;13:55:48;01/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;2;221;ELEIÇÕES MUNICIPAIS 2016;30/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;11;11;Prefeito;43730;112;0;43730;112;32039;11691;N;24589;1206;6244;0;0;0;20:40:16;30/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;177;11;Prefeito;47670;119;3;47670;119;36392;11278;N;29047;1929;5416;0;0;0;13:55:48;01/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58084;VARRE-SAI;58084;VARRE-SAI;43;11;Prefeito;8154;22;1;8154;22;7013;1141;N;6579;113;321;0;0;0;18:33:40;02/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58653;NITERÓI;58653;NITERÓI;142;13;Vereador;36130;113;3;36130;113;29478;6652;N;23417;1363;3250;1448;0;0;19:51:16;02/10/2016
